Name,Power consumption (Wh/km),Battery capacity(kWh),Charging power (kW)
Hyundai IONIQ 6 Standard Range 2WD,150,58,11
Tesla Model 3,151,60,11
Dacia Spring Electric 45,152,26.8,6.6
Tesla Model 3 Long Range Dual Motor,155,78.1,11
Peugeot e-208,155,51,11
Hyundai IONIQ 6 Long Range 2WD,156,77.4,11
Dacia Spring Electric 65 Extreme,156,26.8,6.6
Hyundai Kona Electric 39 kWh,157,42,7.2
Opel Corsa-e,157,50,7.4
Lucid Air Pure,157,88,22
Volkswagen e-Up!,158,36.8,7.2
Fiat 500e Hatchback 24 kWh,158,23.8,11
Fiat 500e 3+1 24 kWh,158,23.8,11
Fiat 500e Cabrio 24 kWh,158,23.8,11
Fiat 500e Hatchback 42 kWh,159,42,11
Fiat 500e 3+1 42 kWh,159,42,11
Peugeot e-208,160,50,7.4
Renault Megane E-Tech EV40 130hp,160,43.3,22
Lucid Air Touring,160,88,22
Mini Cooper SE,161,32.6,11
Hyundai Kona Electric 48 kWh,161,51,7.2
Hyundai Kona Electric 64 kWh,162,67.5,11
Fiat 500e Cabrio 42 kWh,162,42,11
Tesla Model 3 Performance,163,78.1,11
Hyundai Kona Electric 65 kWh,164,68.5,11
CUPRA Born 110 kW - 45 kWh,164,55,7.2
Renault Twingo Electric,164,23,22
Opel Astra Electric,164,54,11
Peugeot e-308,164,54,11
Renault Megane E-Tech EV60 130hp,164,65,22
Renault Zoe ZE50 R110,165,54.7,22
XPENG P7 RWD Long Range,165,86.2,11
Volkswagen ID.3 Pro,166,62,11
CUPRA Born 150 kW - 58 kWh,166,62,11
Abarth 500e Scorpionissima,166,42,11
Nissan Leaf,166,40,3.6
Tesla Model S Dual Motor,167,100,11
Tesla Model Y,167,60,11
Renault Megane E-Tech EV60 220hp,167,65,22
Smart EQ fortwo coupe,167,17.6,4.6
BMW i4 eDrive35,168,70.2,11
Honda e Advance,168,35.5,6.6
Renault Zoe ZE50 R135,168,54.7,22
CUPRA Born 170 kW - 58 kWh,168,62,11
Hyundai IONIQ 6 Long Range AWD,168,77.4,11
Citroen e-C4,168,50,7.4
Citroen e-C4 X,168,50,7.4
Lucid Air Grand Touring,168,112,22
Mercedes EQS 450+,168,120,11
MG MG4 Electric 64 kWh,169,64,11
Volkswagen ID.3 Pro S - 4 Seats,169,82,11
Opel Astra Sports Tourer Electric,169,54,11
Jeep Avenger Electric,169,54,11
MG MG4 Electric 51 kWh,169,51,6.6
Peugeot e-308 SW,169,54,11
DS 3 E-Tense,169,54,11
Mini Cooper SE Convertible,170,32.6,11
Kia e-Soul 39.2 kWh,170,42,7.2
Kia Niro EV,171,68,11
CUPRA Born 170 kW - 77 kWh,171,82,11
MG MG5 Electric Long Range,171,61.1,11
Aiways U6,171,63,11
BMW i4 eDrive40,172,83.9,11
Jeep Avenger Electric 1st Edition,172,54,11
Lucid Air Dream Edition R,172,118,22
Tesla Model Y Long Range Dual Motor,172,78.1,11
Mercedes EQE 350+,173,100,11
Tesla Model S Plaid,173,100,11
Mercedes EQE 300,173,100,11
Mercedes EQE 350,173,100,11
Kia e-Soul 64 kWh,173,67.5,7.2
Skoda Enyaq Coupe iV 80,173,82,11
Skoda Enyaq Coupe iV 60,173,62,11
JAC iEV7s,173,43.5,6.6
Nissan Leaf e+,174,62,6.6
MG MG5 Electric Standard Range,174,50.3,11
Polestar 2 Standard Range Single Motor,174,69,11
ORA Funky Cat 63 kWh,174,63.1,11
ORA Funky Cat 48 kWh,175,47.8,11
Mercedes EQS 450 4MATIC,175,120,11
Smart EQ fortwo cabrio,176,17.6,4.6
XPENG P7 AWD Performance,176,86.2,11
NIO ET7 75 kWh,176,75,11
Audi Q4 Sportback e-tron 35,176,55,7.2
Mazda MX-30,176,35.5,11
Kia EV6 Standard Range 2WD,177,58,11
Polestar 2 Long Range Single Motor,177,82,11
XPENG P7 Wing Edition,178,86.2,11
Peugeot e-2008 SUV,178,50,7.4
Opel Mokka-e,178,50,7.4
Mercedes EQS 500 4MATIC,178,120,11
Mercedes EQS 580 4MATIC,178,120,11
NIO ET7 100 kWh,178,100,11
Skoda Enyaq iV 60,178,62,11
NIO ET5 75 kWh,178,75,11
BYD HAN,178,85.4,7.4
Volkswagen ID.5 Pro,179,82,11
Volkswagen ID.5 Pro Performance,179,82,11
Skoda Enyaq Coupe iV 80x,179,82,11
ORA Funky Cat GT,180,63.1,11
Audi Q4 Sportback e-tron 40,180,82,11
Kia EV6 Long Range 2WD,180,77.4,11
Tesla Model Y Performance,181,78.1,11
Mercedes EQE 350 4MATIC,181,100,11
Mercedes EQE 500 4MATIC,181,100,11
MG ZS EV Standard Range,181,51.1,6.6
NIO ET5 100 kWh,182,100,11
BMW iX1 xDrive30,182,68,11
Volkswagen ID.4 Pure Performance,182,55,7.2
Audi Q4 e-tron 35,182,55,7.2
Volkswagen ID.4 Pure,182,55,7.2
Lucid Air Dream Edition P,183,118,22
Hyundai IONIQ 5 Standard Range 2WD,183,58,11
Skoda Enyaq iV 80,183,82,11
Kia EV6 Long Range AWD,185,77.4,11
BMW i4 M50,186,83.9,11
Polestar 2 Long Range Dual Motor,186,82,11
Volvo C40 Recharge Single Motor,186,69,11
Mercedes EQE AMG 43 4MATIC,187,100,11
MG ZS EV Long Range,187,72.6,7.4
Mercedes EQA 250,187,69.7,11
Genesis G80 Electrified Luxury,188,87.2,11
BYD ATTO 3,188,60.5,7.4
Volkswagen ID.4 Pro Performance,188,82,11
Volkswagen ID.4 Pro,188,82,11
Smart #1,188,66,7.4
Mercedes EQA 250+,188,73.9,11
Volvo C40 Recharge Single Motor ER,188,82,11
Mercedes EQE AMG 53 4MATIC+,189,100,11
Audi Q4 e-tron 40,189,82,11
Genesis GV60 Premium,190,77.4,11
Hyundai IONIQ 5 Long Range 2WD,190,77.4,11
Mercedes EQA 300 4MATIC,190,69.7,11
Mercedes EQA 350 4MATIC,190,69.7,11
Volkswagen ID.5 GTX,190,82,11
Skoda Enyaq Coupe iV RS,190,82,11
Volkswagen ID.4 Pro 4MOTION,190,82,11
